Identifiant Museofile;Region administrative;Commune;Nom officiel du musee;Adresse;URL;Latitude;Longitude
M0594;Occitanie;Castres;musee Goya;Rue de l’Hotel-de-Ville;www.ville-castres.fr/fr/musee-goya-presentation;43,604813;2,239888
M0595;Occitanie;Castres;musee Jean Jaures;2 place Pelisson;www.ville-castres.fr/fr/centre-national-et-musee-jean-jaures-presentation;43,607135;2,240474
M0603;Occitanie;Rabastens;musee du pays rabastinois;2 rue Amedee-Clausade;www.rabastens.fr/ma-ville/le-musee-du-pays-rabastinois;43,820418;1,724791
M0598;Occitanie;Gaillac;musee de l'abbaye Saint-Michel;Place Saint-Michel;www.ville-gaillac.fr/culture/musee-de-labbaye;43,897983;1,895761
M0599;Occitanie;Gaillac;musee des beaux-arts;Avenue Dom-Vayssette;www.ville-gaillac.fr/culture/musee-des-beaux-arts;43,894286;1,901945
M0601;Occitanie;Lavaur;musee du Pays de Cocagne;1 rue Jouxaygues;www.ville-lavaur.fr/-Le-musee-;43,698318;1,820763
M1210;Occitanie;Montans;archeosite de Montans;Avenue Elie Rossignol;www.gaillac-graulhet.fr/se-divertir/larcheosite-de-montans/lieu-culturel-et-pedagogique/;43.865466;1.885602
M0592;Occitanie;Albi;musee Toulouse-Lautrec;Place Sainte-Cecile;musee-toulouse-lautrec.com/;43,928096;2,143551
M0593;Occitanie;Andillac (Le Cayla);musee Eugenie et Maurice Guerin;Chateau du Cayla;musees-departementaux.tarn.fr/index.php?id=cayla-presentation;44,010155;1,899025
M0596;Occitanie;Cordes;musee Charles Portal - Histoire et patrimoine;1 rue Saint Michel;museecharlesportal.fr/;44,063752;1,94934
M0600;Occitanie;Labastide-Rouairoux;musee du textile;Rue de la Rive;musees-departementaux.tarn.fr/index.php?id=textile-presentation;43,476776;2,638539
M0602;Occitanie;L'Isle-sur-Tarn;musee Raymond Lafage;10, rue Victor Mazies;museeraymondlafage.wifeo.com/;43,852892;1,811377
M7037;Occitanie;Gaillac;musee d'histoire naturelle Philadelphe-Thomas;Place Philadelphe Thomas;www.ville-gaillac.fr/culture/museum-dhistoire-naturelle-philadelphe-thomas;43,89944;1,89408
M0608;Occitanie;Saint-Antoine-Noble-Val;musee de prehistoire;Place de la Halle;;44,15188;1,756727
M0604;Occitanie;Auvillar;musee du vieil Auvillar;12 Place de la Halle;auvillar.museum/;44,070335;0,899472
M0606;Occitanie;Moissac;musee des arts et traditions populaires;4 rue de l'Abbaye;www.moissac.fr/exposition-temporaire/;44,105697;1,085296
M0605;Occitanie;Grisolles;musee Theodore Calbet;15 rue Jean Comere;musees-occitanie.fr/musees/musee-calbet/;43,827651;1,294738
